AREA_NM,New_ADDR,Old_ADDR
브랭섬홀아시아 아이스링크,제주특별자치도 서귀포시 대정읍 글로벌에듀로 234(3번게이트),제주특별자치도 서귀포시 대정읍 구억리 1121
(주)제주해양레저 투명카약,제주특별자치도 제주시 애월읍 애월로1길 22,제주특별자치도 제주시 애월읍 애월리 2490-1
1100고지(휴게소),제주특별자치도 서귀포시 1100로 1555,제주특별자치도 서귀포시 색달동 산1-3
1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,제주특별자치도 서귀포시 색달동 산 1-2
1112도로,제주특별자치도 제주시 명림로 584 (봉개동),제주특별자치도 제주시 봉개동 산78-1
4·3해원방사탑,제주특별자치도 제주시 신산로 82,제주특별자치도 제주시 일도이동 837-20
5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,제주특별자치도 서귀포시 남원읍 신례리 산 2-1
9.81 파크,제주특별자치도 제주시 애월읍 천덕로 880-24,제주특별자치도 제주시 애월읍 어음리 3916
998서프 삼양,제주특별자치도 제주시 선사로8길 33,제주특별자치도 제주시 삼양일동 1599-39
9연대 본부 옛터,제주특별자치도 서귀포시 대정읍 일주서로 2497,제주특별자치도 서귀포시 대정읍 상모리 3332
Cafe 몽스파,제주특별자치도 제주시 서사로 28,제주특별자치도 제주시 삼도일동 751-1
M1971 요트투어,제주특별자치도 서귀포시 대정읍 최남단해안로 128,제주특별자치도 서귀포시 대정읍 하모리 646-20
SM 디지털아트 뮤지엄,제주특별자치도 제주시 애월읍 애월해안로 516-7,제주특별자치도 제주시 애월읍 신엄리 2768-7
THE WE,제주특별자치도 서귀포시 1100로 453-95,제주특별자치도 서귀포시 회수동 30
WE호텔 웰니스센터,제주특별자치도 서귀포시 1100로 453-95,제주특별자치도 서귀포시 회수동 30
가마오름,제주특별자치도 제주시 한경면 청수서5길 63,제주특별자치도 제주시 한경면 청수리 847
가마오름 진지동굴,제주특별자치도 제주시 한경면 청수서5길 63,제주특별자치도 제주시 한경면 청수리 847
가메오름,제주특별자치도 제주시 애월읍 봉성리 산 125,제주특별자치도 제주시 애월읍 봉성리 산 125
가뫼물,제주특별자치도 서귀포시 남원읍 남위남성로 168,제주특별자치도 서귀포시 남원읍 남원리 2140-6
가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 남조로 1487-73,제주특별자치도 서귀포시 표선면 가시리 산158
가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,제주특별자치도 서귀포시 표선면 가시리 3795-2
가파도,제주특별자치도 서귀포시 대정읍 가파리,제주특별자치도 서귀포시 대정읍 가파리
가파도 마라도 정기여객선,제주특별자치도 서귀포시 대정읍 최남단해안로 120,제주특별자치도 서귀포시 대정읍 하모리 646-20
가파초등학교 마라분교장,제주특별자치도 서귀포시 대정읍 마라로 58,제주특별자치도 서귀포시 대정읍 가파리 696
각시바우오름,제주특별자치도 서귀포시 호근동 2112,제주특별자치도 서귀포시 호근동 2112
간세공방,제주특별자치도 서귀포시 중정로 22,제주특별자치도 서귀포시 서귀동 316-1
감귤박물관,제주특별자치도 서귀포시 효돈순환로 441,제주특별자치도 서귀포시 신효동 1200-6
감귤박물관 월라봉 산책로 - 생이소리길,제주특별자치도 서귀포시 효돈순환로 441,제주특별자치도 서귀포시 신효동 1200-6
감귤상웨빵 체험,제주특별자치도 서귀포시 남원읍 하례중앙로 95,제주특별자치도 서귀포시 남원읍 하례리 677
감성을담다,제주특별자치도 제주시 구좌읍 평대7길 20-1,제주특별자치도 제주시 구좌읍 평대리 579-8
감수굴 밭담길,제주특별자치도 제주시 구좌읍 평대7길 34,제주특별자치도 제주시 구좌읍 평대리 584-1
갑자기 히어로즈 벽화길,제주특별자치도 제주시 애월읍 금성1길 29-3,제주특별자치도 제주시 애월읍 금성리 569
