AREA_NM,New_ADDR,Old_ADDR,lat,lng
브랭섬홀아시아 아이스링크,제주특별자치도 서귀포시 대정읍 글로벌에듀로 234(3번게이트),제주특별자치도 서귀포시 대정읍 구억리 1121,33.2904196,126.2863328
(주)제주해양레저 투명카약,제주특별자치도 제주시 애월읍 애월로1길 22,제주특별자치도 제주시 애월읍 애월리 2490-1,33.4623327,126.3104764
1100고지(휴게소),제주특별자치도 서귀포시 1100로 1555,제주특별자치도 서귀포시 색달동 산1-3,33.3577838,126.4624306
1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,제주특별자치도 서귀포시 색달동 산 1-2,33.3575068,126.4628513
1112도로,제주특별자치도 제주시 명림로 584 (봉개동),제주특별자치도 제주시 봉개동 산78-1,33.4400577,126.6251975
4·3해원방사탑,제주특별자치도 제주시 신산로 82,제주특별자치도 제주시 일도이동 837-20,33.5054859,126.5347396
5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.3642265,126.6050291
9.81 파크,제주특별자치도 제주시 애월읍 천덕로 880-24,제주특별자치도 제주시 애월읍 어음리 3916,33.3900369,126.3665090
998서프 삼양,제주특별자치도 제주시 선사로8길 33,제주특별자치도 제주시 삼양일동 1599-39,33.5268047,126.5886162
9연대 본부 옛터,제주특별자치도 서귀포시 대정읍 일주서로 2497,제주특별자치도 서귀포시 대정읍 상모리 3332,33.2291519,126.2626832
Cafe 몽스파,제주특별자치도 제주시 서사로 28,제주특별자치도 제주시 삼도일동 751-1,33.5098287,126.5195459
M1971 요트투어,제주특별자치도 서귀포시 대정읍 최남단해안로 128,제주특별자치도 서귀포시 대정읍 하모리 646-20,33.2101162,126.2571321
SM 디지털아트 뮤지엄,제주특별자치도 제주시 애월읍 애월해안로 516-7,제주특별자치도 제주시 애월읍 신엄리 2768-7,33.4772830,126.3592192
THE WE,제주특별자치도 서귀포시 1100로 453-95,제주특별자치도 서귀포시 회수동 30,33.2860122,126.4441678
WE호텔 웰니스센터,제주특별자치도 서귀포시 1100로 453-95,제주특별자치도 서귀포시 회수동 30,33.2860122,126.4441678
가마오름,제주특별자치도 제주시 한경면 청수서5길 63,제주특별자치도 제주시 한경면 청수리 847,33.3058186,126.2495481
가마오름 진지동굴,제주특별자치도 제주시 한경면 청수서5길 63,제주특별자치도 제주시 한경면 청수리 847,33.3058186,126.2495481
가메오름,제주특별자치도 제주시 애월읍 봉성리 산 125,제주특별자치도 제주시 애월읍 봉성리 산 125,33.3673821,126.3356000
가뫼물,제주특별자치도 서귀포시 남원읍 남위남성로 168,제주특별자치도 서귀포시 남원읍 남원리 2140-6,33.2899537,126.6934541
가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 남조로 1487-73,제주특별자치도 서귀포시 표선면 가시리 산158,33.4014447,126.6757628
가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,제주특별자치도 서귀포시 표선면 가시리 3795-2,33.3931579,126.7231751
가파도,제주특별자치도 서귀포시 대정읍 가파리,제주특별자치도 서귀포시 대정읍 가파리,33.16968,126.272423
가파도 마라도 정기여객선,제주특별자치도 서귀포시 대정읍 최남단해안로 120,제주특별자치도 서귀포시 대정읍 하모리 646-20,33.2100651,126.2583797
가파초등학교 마라분교장,제주특별자치도 서귀포시 대정읍 마라로 58,제주특별자치도 서귀포시 대정읍 가파리 696,33.1192926,126.2668551
각시바우오름,제주특별자치도 서귀포시 호근동 2112,제주특별자치도 서귀포시 호근동 2112,33.2767573,126.5269498
간세공방,제주특별자치도 서귀포시 중정로 22,제주특별자치도 서귀포시 서귀동 316-1,33.2474052,126.5586670
감귤박물관,제주특별자치도 서귀포시 효돈순환로 441,제주특별자치도 서귀포시 신효동 1200-6,33.2716170,126.6073620
감귤박물관 월라봉 산책로 - 생이소리길,제주특별자치도 서귀포시 효돈순환로 441,제주특별자치도 서귀포시 신효동 1200-6,33.2716170,126.6073620
감귤상웨빵 체험,제주특별자치도 서귀포시 남원읍 하례중앙로 95,제주특별자치도 서귀포시 남원읍 하례리 677,33.2691705,126.6253505
감성을담다,제주특별자치도 제주시 구좌읍 평대7길 20-1,제주특별자치도 제주시 구좌읍 평대리 579-8,33.5300317,126.8438297
감수굴 밭담길,제주특별자치도 제주시 구좌읍 평대7길 34,제주특별자치도 제주시 구좌읍 평대리 584-1,33.5310263,126.8432734
갑자기 히어로즈 벽화길,제주특별자치도 제주시 애월읍 금성1길 29-3,제주특별자치도 제주시 애월읍 금성리 569,33.4468828,126.2994452
갓전시관[갓전수교육관],제주특별자치도 제주시 조천읍 남조로 1904,제주특별자치도 제주시 조천읍 교래리 457-1,33.4372107,126.6706936
강병대교회,제주특별자치도 서귀포시 대정읍 상모대서로 43-3,제주특별자치도 서귀포시 대정읍 상모리 3846,33.2266620,126.2573767
강정어촌계,제주특별자치도 서귀포시 말질로 290,제주특별자치도 서귀포시 강정동 4964,33.2275652,126.4747232
강정천유원지,제주특별자치도 서귀포시 강정통물로 (강정동),제주특별자치도 서귀포시 강정동,,
개떼목장,제주특별자치도 서귀포시 안덕면 평화로 486 (덕수리),제주특별자치도 서귀포시 안덕면 덕수리 1513-1,33.2793574,126.3179374
개미남,제주특별자치도 제주시 구산로 26,제주특별자치도 제주시 아라일동 2408-18,33.4830372,126.5380272
개오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,제주특별자치도 서귀포시 표선면 성읍리 2974,33.4238323,126.7682184
개오리오름,제주특별자치도 제주시 봉개동,제주특별자치도 제주시 봉개동,33.491674,126.59467
개인공간,제주특별자치도 제주시 매촌1길 3-1,제주특별자치도 제주시 도련이동 542-1,33.5158783,126.5890249
갤러리2 중선농원,제주특별자치도 제주시 영평길 269,제주특별자치도 제주시 월평동 1348-3,33.4781559,126.5702490
거린오름 (북오름),제주특별자치도 서귀포시 안덕면 동광리 산 94,제주특별자치도 서귀포시 안덕면 동광리 산 94,33.3026811,126.3319998
거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 조천읍 선교로 569-36,제주특별자치도 제주시 조천읍 선흘리 478,33.4568773,126.7142801
거믄여해안경승지,제주특별자치도 서귀포시 516로,제주특별자치도 서귀포시 토평동,,
거슨새미오름,제주특별자치도 제주시 구좌읍 송당리 산 145,제주특별자치도 제주시 구좌읍 송당리 산 145,33.4505976,126.7595225
거인의 정원,제주특별자치도 제주시 대원길 58,제주특별자치도 제주시 아라일동 2853-1,33.4718478,126.5352477
거친오름,제주특별자치도 제주시 명림로 520 (봉개동),제주특별자치도 제주시 봉개동 산51-2,33.4450254,126.6255747
건강과성박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611,제주특별자치도 서귀포시 안덕면 감산리 1736,33.2548978,126.3467231
건강장수마을 산양리 농어촌체험마을,제주특별자치도 제주시 한경면 중산간서로 3169,제주특별자치도 제주시 한경면 청수리 3256-3,33.2939944,126.2329798
걸매생태공원,제주특별자치도 서귀포시 남성로 (서홍동),제주 서귀포시 서홍동 1207,,
걸매예술마을,제주특별자치도 서귀포시 서홍로 4-42,제주특별자치도 서귀포시 서홍동 470,33.2499840,126.5550633
걸서악오름,제주특별자치도 서귀포시 남원읍 하례로 393-1,제주특별자치도 서귀포시 남원읍 하례리 산124,33.2820445,126.6212002
검멀레동굴,제주특별자치도 제주시 우도면,제주특별자치도 제주시 우도면,33.506483,126.953051
검멀레해변,제주특별자치도 제주시 우도면 우도해안길,제주특별자치도 제주시 우도면 우도해안길,,
게우지코지,제주특별자치도 서귀포시 하효동,제주특별자치도 서귀포시 하효동,33.254292,126.6166
겨울이네,제주특별자치도 제주시 아란4길 91,제주특별자치도 제주시 아라일동 6064,33.4695083,126.5418694
고근산(고공산),제주특별자치도 서귀포시 고근산로202번길 48,제주특별자치도 서귀포시 서호동 1302-1,33.2707072,126.5127984
고내리 다락쉼터,제주특별자치도 제주시 애월읍 애월해안로 284,제주특별자치도 제주시 애월읍 고내리 463,33.4695789,126.3409324
고내리포구,제주특별자치도 제주시 애월읍 고내리,제주특별자치도 제주시 애월읍 고내리,33.469843,126.341913
"고내봉(고내오름,고니오름,망오름)",제주특별자치도 제주시 애월읍 고내리 산 3-1,제주특별자치도 제주시 애월읍 고내리 산 3-1,33.4601477,126.3412902
고사리숲,제주특별자치도 제주시 애월읍 평화로 2715 제주관광대학교 내 창업보육센터 본관 315호,제주특별자치도 제주시 애월읍 광령리 2535,33.4483838,126.4346020
고산일과해안도로,제주특별자치도 서귀포시 대정읍 영락하동로 9-6,제주특별자치도 서귀포시 대정읍 영락리 2169,33.2563921,126.2099568
고살리숲길,제주특별자치도 서귀포시 남원읍 하례리 산 54-2,제주특별자치도 서귀포시 남원읍 하례리 산 54-2,33.3172695,126.5984605
고씨주택,제주특별자치도 제주시 관덕로17길 27-1,제주특별자치도 제주시 일도일동 1243-1,33.5149206,126.5283001
고요산책,제주특별자치도 제주시 중앙로12길 5,제주특별자치도 제주시 이도일동 1387-3,33.5118121,126.5238642
고포잇다이브센터,제주특별자치도 서귀포시 이어도로 685-1,제주특별자치도 서귀포시 강정동 2628-1,33.2347219,126.4890329
고흐의 정원,제주특별자치도 서귀포시 성산읍 삼달신풍로 126-5,제주특별자치도 서귀포시 성산읍 삼달리 1185-2,33.3733880,126.8440680
곤물,제주특별자치도 서귀포시 안덕면 화순서서로64번길 64-4,제주특별자치도 서귀포시 안덕면 화순리 1190-1,33.2518998,126.3327957
곤흘동(곤을동) 마을터,제주특별자치도 제주시 화북1동 4438,제주특별자치도 제주시 화북1동 4438,33.5217931,126.5573380
골프탕탕,제주특별자치도 서귀포시 안덕면 산록남로 762번길 71,제주특별자치도 서귀포시 안덕면 상천리 380-7,33.3030343,126.3923592
곱닥한개,제주특별자치도 제주시 설촌로10길 12,제주특별자치도 제주시 삼양이동 2101-10,33.5238829,126.5827351
곱뜨락아띠 향수공방,제주특별자치도 서귀포시 안덕면 사계중앙로3번길 22,제주특별자치도 서귀포시 안덕면 사계리 2266-1,33.2301723,126.2997017
공방:하루_반,제주특별자치도 제주시 구좌읍 월정7길 42-6 1층,제주특별자치도 제주시 구좌읍 월정리 52,33.5543940,126.7972606
공천포,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리,33.339574,126.617913
공천포구,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리,33.339574,126.617913
곶자왈,제주특별자치도 서귀포시 대정읍 신평리,제주특별자치도 서귀포시 대정읍 신평리,33.268921,126.257923
곽지패총,제주특별자치도 제주시 애월읍 곽지리 2043-1,제주특별자치도 제주시 애월읍 곽지리 2043-1,33.4459728,126.3070699
곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리),제주특별자치도 제주시 애월읍 애월원당길 (곽지리),,
곽지해수욕장야영장,제주특별자치도 제주시 애월읍 곽지리 1565,명제주특별자치도 제주시 애월읍 곽지1길 31,33.4502185,126.3048354
관덕정,제주특별자치도 제주시 관덕로 19,제주특별자치도 제주시 삼도이동 983-1,33.5133940,126.5214658
관음사,제주특별자치도 제주시 산록북로 660,제주특별자치도 제주시 아라일동 387,33.4217218,126.5587513
관음사 군 주둔지 옛터,제주특별자치도 제주시 산록북로 660,제주특별자치도 제주시 아라일동 387,33.4217218,126.5587513
관음사 야영장,제주특별자치도 제주시 산록북로 588,제주특별자치도 제주시 오등동 산180-3,33.4222299,126.5509940
관음사 템플스테이,제주시 산록북로 660,제주특별자치도 제주시 아라일동 387,33.4217218,126.5587513
