MCT_NM,OP_YMD,ADDR,pk
(사)한국수상레저안전협회 제주제주시지부,20150327,제주 제주시 이호일동 1층,0
(유)아웃백스테이크하우스 제주아일랜드점,20090217,제주 제주시 오라이동 3173번지 1층,1
(유)케이디에셋 담앤루,20211209,제주 서귀포시 대포동 1181번지 1층,2
(주) 베이힐,20140110,제주 서귀포시 하예동 1888번지,3
(주) 비케이알 버거킹 제주화북DT점,20231129,제주 제주시 화북일동 3907-9번지 1층,4
(주) 성우디엔에프,20140630,제주 서귀포시 강정동 2694번지,5
(주) 신세계푸드 제주신화월드  고래라면,20171227,제주 서귀포시 안덕면 서광리 2489번지 1층,6
(주) 신세계푸드 제주신화월드  윤경양식당,20171228,제주 서귀포시 안덕면 서광리 2489번지 1층,7
(주) 신세계푸드 제주신화월드  티플레이스,20171227,제주 서귀포시 안덕면 서광리 2489번지 1층,8
(주) 신세계푸드 제주신화월드  화니제주신,20180108,제주 서귀포시 안덕면 서광리 2489번지 1층,9
(주) 아워홈 제주대학교병원제주점,20180306,제주 제주시 아라일동 1753-3번지 제주대학교병원 지하1층,10
(주) 아워홈 제주지방합동청사점,20150210,제주 제주시 도남동 662번지 4층,11
(주) 아워홈 제주한라병원점,20180621,제주 제주시 연동 1963-2번지 1층,12
(주) 현대그린푸드 국세공무원교육원(제주),20150908,제주 서귀포시 서호동 1513번지,13
(주)구푸디엉또정,20210729,제주 서귀포시 강정동 1938번지,14
(주)그라스랜드,20230918,제주 제주시 애월읍 애월리 2493-1번지 1층,15
(주)그랜드부민,20111017,제주 제주시 도남동 1237번지,16
(주)네츄럴파크리조트,20210114,제주 제주시 애월읍 신엄리 929-3번지 1층,17
(주)다모아미래컨벤션센터,20080130,제주 제주시 용담일동 248-5번지,18
(주)리앤이라마띠네제주호텔브릿지서귀포점,20230222,제주 서귀포시 서귀동 162-1번지 2층,19
(주)모던돔베제주노형본점,20230227,제주 제주시 노형동 253-3번지 노형동,20
(주)바다바라,20220221,제주 서귀포시 색달동 2822-12번지,21
(주)별돈별,20230717,제주 서귀포시 하원동 1829번지 1층,22
(주)블루밍그릴,20220915,제주 서귀포시 색달동 2511-1번지,23
(주)비케이알 버거킹 제주노형점,20220608,제주 제주시 노형동 904-4번지,24
(주)산굼부리,20080428,제주 제주시 조천읍 교래리 산 38번지,25
(주)삼다도횟집,20120709,제주 제주시 용담삼동 1100번지,26
(주)새들러컴퍼니 제주지점,20210610,제주 제주시 애월읍 애월리 2527-4번지 1층,27
(주)서민당,20231102,제주 제주시 이도이동 426-3번지 1층,28
(주)서울인더스트리포트그릴스테이크하우스,20180615,제주 서귀포시 서귀동 666-10번지 1층,29
(주)시더스초밥제주연동점,20220315,제주 제주시 연동 355-8번지 1층,30
(주)신세계푸드 세인트존스베리 아카데미,20230721,제주 서귀포시 대정읍 구억리 1159번지 1층 직원식당,31
(주)신세계푸드 제주신화월드,20171227,제주 서귀포시 안덕면 서광리 2489번지 1층,32
(주)신세계푸드 제주신화월드 직원식당,20171201,제주 서귀포시 안덕면 서광리 산 35-16번지 1층,33
(주)신세계푸드 한국공항공사 제주지역본부 직원식당,20200306,제주 제주시 용담이동 2002번지 4층,34
(주)아워홈 네오플제주점(네오마루식당),20190813,제주 제주시 노형동 77번지 지하2층,35
(주)아워홈 렛츠런파크제주점,20170104,제주 제주시 애월읍 유수암리 1206번지,36
(주)아워홈 렛츠런파크제주점 한식당,20170105,제주 제주시 애월읍 유수암리 1206번지,37
(주)아워홈 제주국제공항2지점,20200709,제주 제주시 용담이동 2002번지,38
(주)아워홈 제주국제공항점,20200708,제주 제주시 용담이동 2002번지,39
(주)아워홈 제주국제공항점,20200710,제주 제주시 용담이동 2002번지,40
(주)아워홈 제주지방합동청사제주점,20150108,제주 제주시 도남동 662번지 4층,41
(주)아워홈 카카오제주점,20191226,제주 제주시 영평동 2184번지 1층,42
(주)에스피오엘  제주지점_한식,20110608,제주 제주시 애월읍 고내리 365-2번지,43
(주)엠브릿지,20180627,"제주 서귀포시 대정읍 하모리 646-20번지 제1동 1,2층 모슬포항요트클럽건축물",44
(주)오드랑베이커리,20190508,제주 제주시 조천읍 함덕리 270-1번지,45
(주)오설록 제주점,20190923,제주 서귀포시 안덕면 서광리 1235-1번지,46
(주)오제이상사애월지점 낭푼밥상,20161227,제주 제주시 연동 265-3번지 영일빌라 1층,47
(주)옹포바다횟집,20220826,제주 제주시 한림읍 옹포리 578-1번지,48
(주)이에스리조트클럽,20171130,제주 서귀포시 하원동 1885번지,49
(주)제담에프앤비 제주호랭이 성산점,20210407,제주 서귀포시 성산읍 성산리 132-2번지 2층,50
(주)제이콥에프앤비 제주아일랜드점,20170725,제주 서귀포시 안덕면 상창리 1963-2번지,51
(주)제주서서갈비,20190925,제주 제주시 노형동 2419번지 1층,52
(주)제주테마조각공원,20230524,제주 제주시 연동 680-26번지 103동 1층,53
(주)젠하이더웨이묵전제주점,20220224,제주 서귀포시 대정읍 상모리 78번지 송악빌딩 1동 지하1층 송악리조트,54
(주)지이오코리아,20180220,제주 제주시 노형동 138-2번지,55
(주)짱죽 제주점,20190128,제주 제주시 아라일동 2572-2번지 1층,56
(주)참숯구이몬트락,20160308,제주 제주시 건입동 1388-3번지,57
(주)캐롯닷밀,20180608,제주 제주시 애월읍 고성리 443번지,58
(주)커피빈코리아,20210422,제주 제주시 아라일동 2503번지,59
